Dataset,Architecture,Complexity (Params),Stopped Epoch,Accuracy (EarlyStopped),Test Loss (EarlyStopped),Training Time (s),Avg Time per Epoch (s)
fashion_mnist,Shallow (A),50890,20,0.8736000061035156,0.3463936150074005,15.255470514297485,0.7627735257148742
fashion_mnist,Medium (B),109386,14,0.8773999810218811,0.3459239602088928,14.162015199661255,1.0115725142615182
fashion_mnist,Deep (C),111146,11,0.8748999834060669,0.3493432104587555,11.836077213287354,1.0760070193897595
